config,dataset,seed,params,train_samples,epochs,batch,lr,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
L2_b2_1e4,d138,22,25718538,1380,25,16,0.0001,1.0,0.7300000190734863,0.7900000214576721,0.7514098882675171,11,78.6
L2_b2_1e4,d138,33,25718538,1380,25,16,0.0001,1.0,0.7300000190734863,0.7599999904632568,0.7407850027084351,11,79.2
L2_b2_1e4,d234,11,25718538,2340,25,16,0.0001,1.0,0.7599999904632568,0.7599999904632568,0.783388078212738,8,120.6
L2_b2_1e4,d234,22,25718538,2340,25,16,0.0001,1.0,0.6899999976158142,0.7649999856948853,0.7805970907211304,11,120.5
L2_b2_1e4,d234,33,25718538,2340,25,16,0.0001,1.0,0.7049999833106995,0.7549999952316284,0.7664579153060913,8,120.1
L2_b2_1e4,d90,11,25718538,900,25,16,0.0001,1.0,0.7149999737739563,0.7450000047683716,0.9400957226753235,24,57.2
L2_b2_1e4,d90,22,25718538,900,25,16,0.0001,1.0,0.7149999737739563,0.7350000143051147,0.9386340975761414,18,56.9
L2_b2_1e4,d90,33,25718538,900,25,16,0.0001,1.0,0.7099999785423279,0.7250000238418579,0.9123442769050598,12,57.4
L2_b2_1e5,d138,11,25718538,1380,25,16,0.0001,1.0,0.7450000047683716,0.7599999904632568,0.7534610033035278,16,78.7
L2_b2_1e5,d138,22,25718538,1380,25,16,0.0001,1.0,0.7450000047683716,0.8050000071525574,0.7295242547988892,16,78.7
L2_b2_1e5,d138,33,25718538,1380,25,16,0.0001,1.0,0.7400000095367432,0.7599999904632568,0.7454957365989685,11,78.2
L2_b2_1e5,d234,11,25718538,2340,25,16,0.0001,1.0,0.75,0.7599999904632568,0.7646682262420654,13,120.1
L2_b2_1e5,d234,22,25718538,2340,25,16,0.0001,1.0,0.6949999928474426,0.7699999809265137,0.7653148174285889,11,119.5
L2_b2_1e5,d234,33,25718538,2340,25,16,0.0001,1.0,0.7049999833106995,0.7549999952316284,0.7663800120353699,8,119.6
L2_b2_1e5,d90,11,25718538,900,25,16,0.0001,1.0,0.7099999785423279,0.75,0.9386165738105774,24,58.4
L2_b2_1e5,d90,22,25718538,900,25,16,0.0001,1.0,0.7200000286102295,0.7250000238418579,0.9392206072807312,15,57.8
L2_b2_1e5,d90,33,25718538,900,25,16,0.0001,1.0,0.7099999785423279,0.7250000238418579,0.9121314287185669,12,57.5
L2_b3_1e2,d138,11,12866922,1380,25,16,0.0001,1.0,0.7250000238418579,0.7549999952316284,0.8324252367019653,12,78.7
L2_b3_1e2,d138,22,12866922,1380,25,16,0.0001,1.0,0.7099999785423279,0.7850000262260437,0.8180487751960754,22,78.0
L2_b3_1e2,d138,33,12866922,1380,25,16,0.0001,1.0,0.7200000286102295,0.7599999904632568,0.7906670570373535,17,78.4
L2_b3_1e2,d234,11,12866922,2340,25,16,0.0001,1.0,0.7649999856948853,0.7699999809265137,0.7651762962341309,13,119.5
L2_b3_1e2,d234,22,12866922,2340,25,16,0.0001,1.0,0.7149999737739563,0.7599999904632568,0.7856498956680298,17,119.8
L2_b3_1e2,d234,33,12866922,2340,25,16,0.0001,1.0,0.675000011920929,0.7450000047683716,0.8602046370506287,8,119.6
L2_b3_1e2,d90,11,12866922,900,25,16,0.0001,1.0,0.6949999928474426,0.7350000143051147,0.9760308861732483,19,57.5
L2_b3_1e2,d90,22,12866922,900,25,16,0.0001,1.0,0.6899999976158142,0.75,0.9662973284721375,20,57.7
L2_b3_1e2,d90,33,12866922,900,25,16,0.0001,1.0,0.7350000143051147,0.7350000143051147,0.9589694738388062,25,57.7
L2_b3_1e3,d138,11,12866922,1380,25,16,0.0001,1.0,0.7250000238418579,0.7549999952316284,0.8312276601791382,12,78.3
L2_b3_1e3,d138,22,12866922,1380,25,16,0.0001,1.0,0.7350000143051147,0.7850000262260437,0.7905460596084595,22,77.8
L2_b3_1e3,d138,33,12866922,1380,25,16,0.0001,1.0,0.7149999737739563,0.7599999904632568,0.788981556892395,17,78.7
L2_b3_1e3,d234,11,12866922,2340,25,16,0.0001,1.0,0.7549999952316284,0.7649999856948853,0.7735856771469116,13,119.8
L2_b3_1e3,d234,22,12866922,2340,25,16,0.0001,1.0,0.7099999785423279,0.7599999904632568,0.7962581515312195,17,119.5
L2_b3_1e3,d234,33,12866922,2340,25,16,0.0001,1.0,0.6600000262260437,0.7450000047683716,0.8544718027114868,8,118.8
L2_b3_1e3,d90,11,12866922,900,25,16,0.0001,1.0,0.6899999976158142,0.7350000143051147,0.9765021800994873,19,57.6
L2_b3_1e3,d90,22,12866922,900,25,16,0.0001,1.0,0.699999988079071,0.7450000047683716,0.9498454332351685,20,57.9
L2_b3_1e3,d90,33,12866922,900,25,16,0.0001,1.0,0.7300000190734863,0.7400000095367432,0.9614934325218201,25,57.7
L2_b3_1e4,d138,11,12866922,1380,25,16,0.0001,1.0,0.7149999737739563,0.7549999952316284,0.8338876366615295,12,77.8
L2_b3_1e4,d138,22,12866922,1380,25,16,0.0001,1.0,0.6850000023841858,0.7850000262260437,0.8029554486274719,22,78.7
L2_b3_1e4,d138,33,12866922,1380,25,16,0.0001,1.0,0.7149999737739563,0.7549999952316284,0.7914676070213318,17,78.0
L2_b3_1e4,d234,11,12866922,2340,25,16,0.0001,1.0,0.7649999856948853,0.7699999809265137,0.7671369910240173,13,119.5
L2_b3_1e4,d234,22,12866922,2340,25,16,0.0001,1.0,0.6850000023841858,0.7450000047683716,0.8030586242675781,17,119.4
L2_b3_1e4,d234,33,12866922,2340,25,16,0.0001,1.0,0.675000011920929,0.7450000047683716,0.8550553321838379,8,119.8
L2_b3_1e4,d90,11,12866922,900,25,16,0.0001,1.0,0.6899999976158142,0.7350000143051147,0.9745208621025085,19,57.4
L2_b3_1e4,d90,22,12866922,900,25,16,0.0001,1.0,0.6949999928474426,0.7300000190734863,0.9643344283103943,20,57.7
L2_b3_1e4,d90,33,12866922,900,25,16,0.0001,1.0,0.7300000190734863,0.7350000143051147,0.9626314640045166,25,57.7
L2_b3_1e5,d138,11,12866922,1380,25,16,0.0001,1.0,0.7200000286102295,0.7549999952316284,0.8321953415870667,12,78.6
L2_b3_1e5,d138,22,12866922,1380,25,16,0.0001,1.0,0.7300000190734863,0.7850000262260437,0.8212623596191406,22,78.6
L2_b3_1e5,d138,33,12866922,1380,25,16,0.0001,1.0,0.7200000286102295,0.7549999952316284,0.7906979918479919,17,77.8
L2_b3_1e5,d234,11,12866922,2340,25,16,0.0001,1.0,0.75,0.7699999809265137,0.7683645486831665,13,119.6
L2_b3_1e5,d234,22,12866922,2340,25,16,0.0001,1.0,0.7049999833106995,0.7799999713897705,0.7804285287857056,17,120.0
L2_b3_1e5,d234,33,12866922,2340,25,16,0.0001,1.0,0.6650000214576721,0.7400000095367432,0.8583001494407654,8,120.1
L2_b3_1e5,d90,11,12866922,900,25,16,0.0001,1.0,0.6850000023841858,0.7350000143051147,0.9749512672424316,19,58.0
L2_b3_1e5,d90,22,12866922,900,25,16,0.0001,1.0,0.7149999737739563,0.7300000190734863,0.953335165977478,20,57.4
